CPE,mean,std,min,max,missing_pct,hora_pico,mean_noite,mean_dia,ratio_noite_dia,std_diario,mean_diario,diff_utilizacao_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,std_mensal,amplitude_horaria,cv
PT0002000084414998AX,1.000804699846545,0.8771641366744238,0.0,10.12,0.4660968242904484,15,0.7099848015103343,1.2045032967032963,0.5894419745081229,63.46817872375936,51.22641735052752,0.02363939961760388,15,15,1822.8242453318082,0.7442351648351649,0.8764588503720265
PT0002000085555547GN,1.4428695186019085,1.3530566139214173,0.0,8.892,0.4297296305807256,21,2.2328629336191885,0.7638853615520284,2.9230340650625335,79.76761111776723,78.8841969519343,0.1441587855972593,21,21,2293.347053650825,2.761952674897119,0.9377539662993803
PT0002000085641795MX,0.08575234767416468,0.0824754046921192,0.0,1.388,0.6080438265037846,16,0.059229713237965366,0.10457591958939264,0.5663800373023271,4.632735568268464,3.222297772567409,0.03128383825198592,16,2,129.5927496485481,0.12203592814371259,0.9617859677207095
PT0002000089069203YG,3.2306345140850445,2.446624322719657,0.0,152.8,0.3592819496924563,11,2.150344808921016,3.990828558346416,0.5388216450500702,191.37728008787832,198.44352403282517,0.5429101755943206,11,11,5290.0792702979725,2.663550366300367,0.7573200595897711
PT0002000100113293JT,42.29064747321559,14.713097819990908,0.0,74.0,0.00015896890323685144,9,39.059105413086115,43.99775737759893,0.8877521887734376,1335.9087852935281,4053.7543962485347,2.6577415581007595,19,9,47700.512119847204,7.516459606696785,0.3479042932437797
PT0002000100742616GC,3.3444501042119974,4.1875946226721945,0.0,22.176,0.4660968242904484,0,4.669128424623026,3.1459507064364205,1.4841708787967587,240.45244473722565,171.18644314185235,1.6978203587295433,12,0,6564.283236061894,5.163184434360554,1.25210258553367
PT0002000101964938LF,5.218820709777302,4.482709111927792,0.0,29.0,0.1785465350893283,15,2.4255081061670793,7.269668367346939,0.33364769664895555,290.67756614446546,410.99589683470106,3.5570202575376886,15,17,6838.3154011477645,6.499642857142858,0.8589505869649006
PT0002000102936404ME,5.105946186064221,2.6172376491455354,0.0,22.0,0.036526162612959635,21,4.146954265205427,5.454541499912997,0.7602754998328592,138.7025574513846,471.626611957796,0.1851828829958179,21,20,5219.092400427052,7.828258221680877,0.5125862188459455
PT0002000103647515BL,0.6170404498089835,1.165898018360838,0.0,5.0,0.0365383909901317,20,0.2669373881163117,0.37021489472768404,0.7210336264635183,20.434625253782635,56.994138335287225,0.009279708404817236,20,20,721.5112842730413,2.6775274056029232,1.8895001433403007
PT0002000105483259QH,0.2371182564240549,0.4272009717706372,0.0,3.0,0.00017119728040891695,18,0.19156136122630726,0.23337944332662644,0.8208150576407338,6.835029736744553,22.728604923798358,0.03164142943606319,18,0,223.8140680765298,0.25616197183098594,1.8016367791041965
PT0002000106237165CF,0.08608387155879256,0.048517252089452984,0.0,0.98,0.46608459591327633,18,0.07252794518910285,0.09577645211930927,0.7572628092211474,4.3807250721877455,4.406323563892145,0.016943694288161948,18,9,130.58142700661935,0.0757208791208791,0.5636044384495095
PT0002000107046231FW,3.117600395999391,4.028037129532916,0.0,27.0,0.03655061936730376,10,1.0652462169932524,4.52312075865669,0.23551133693578793,225.93269609047758,287.9595545134818,2.556711644587921,10,21,4719.245452455005,5.88489646772229,1.2920312477191844
PT0002000107172384HT,5.5355279520862215,3.5018341819800853,0.0,34.0,0.14451496141947,21,4.03885987885125,5.816480501665686,0.694382088566209,246.825759177516,453.9976553341149,0.8009801046460424,21,0,7289.126333974716,4.95233196159122,0.6326106944614595
PT0002000107332489XW,0.11076361145164783,0.018233735664743556,0.0,0.368,0.3217163750198711,22,0.1108811357373299,0.11024110232328224,1.0058057602886694,5.079299531516012,7.202621336459558,0.0008671523400483397,22,22,158.82101560056654,0.0039861591695501825,0.16461846472659675
PT0002000108315818YN,0.03713766854325255,0.15151386192788346,0.0,1.196,0.03776122870733825,21,0.023907262319276118,0.033104529616724734,0.7221749590182346,8.274681693155328,3.4259390386869875,0.003541366750072123,21,21,229.61062017351105,0.07852560975609757,4.079789277870854
PT0002000109837807PE,3.495513219185906,3.0173906453659742,0.0,13.0,0.03656284774447583,20,1.6141504015582948,4.187445623803724,0.3854737581265734,164.85744900813435,322.8616647127784,1.2941596611008133,20,11,4133.137052579106,4.912302070645555,0.8632182046414102
PT0002000109942242HZ,0.06486468782923366,0.16338792346912018,0.0,0.496,0.46608459591327633,22,0.023435980260672784,0.05267927786499216,0.44488043895998597,3.751319956307788,3.320189917936684,0.0025965377938034183,22,22,114.32368877097299,0.3130945054945055,2.518904028325307
PT0002000110090564GD,3.6860910585376314,4.0545462604822875,0.0,19.0,0.14456387492815828,19,1.3731877919258075,4.377523025671174,0.31369059257324333,180.6202190188846,302.29835873388043,1.973029753876897,19,11,4904.220932101455,7.584019204389575,1.099958247393604
PT0002000110607652SB,5.4437315787906755,5.735292860309408,0.0,35.0,0.17852207833498415,15,1.8490444231860432,8.001428571428571,0.23108928695415645,332.111519137217,428.72098475967175,4.203709514453167,15,21,7386.2765209324625,8.203214285714285,1.0535590848481002
PT0002000112026362NN,0.008164323847773915,0.015034761120496547,0.0,0.068,0.001332893111755139,22,0.005283909107863967,0.0068922276313580656,0.7666475036058565,0.7740373202926735,0.7816694021101984,0.0012258747017309193,23,22,22.36467844420401,0.01894947121034077,1.8415194449441061
PT0002000112171317NK,0.2418650977202836,0.2940829350234322,0.0,1.08,0.03770008682147792,0,0.47480947621163117,0.07098841463414635,6.688548809811589,12.346484634118003,22.313402110199256,0.0016087873236513542,23,0,401.44726335748487,0.512654762295939,1.2158965381749225
PT0002000112989585PH,14.161284412074572,7.882464580835375,0.0,89.0,0.46608459591327633,14,10.208355951280522,16.943602825745685,0.6024902764935565,801.4976719789474,724.865181711606,4.718106069428316,14,16,23528.55100442473,9.21978021978022,0.5566207380253176
PT0002000114685657JR,46.47075346284146,25.594442762150134,0.0,178.0,0.42969294544920944,11,31.58072019847348,56.868643445032326,0.5553274754830144,2488.3292017140316,2540.8007033997656,19.60349799458948,11,11,71590.01726145484,39.893480257116614,0.5507645315588813
PT0002000115031201VQ,6.151772173572722,9.524575651844058,0.0,57.0,0.00015896890323685144,12,1.9623611875097509,9.018381120053656,0.21759572603847502,579.8851853560607,589.6758499413834,5.314410570528919,12,22,12411.327736324116,12.171361502347418,1.5482653425886768
PT0002000115673389QK,13.678521113353387,11.587557335951487,0.0,67.0,0.0365383909901317,10,13.969387408531423,14.241256307638768,0.980909767141715,829.8626724677857,1263.443141852286,6.969242000115312,10,1,22312.339783023734,12.793239951278927,0.8471352450989283
PT0002000115673471CB,11.708779144296793,15.020249754719122,0.0,111.0,0.0365383909901317,1,17.172782472548747,10.742017574386635,1.5986552203652773,742.8786413311767,1081.504103165299,5.8182920682373025,1,1,20096.431758988412,23.68825084353567,1.2828194613300319
PT0002000115700602GW,8.580165509538375,8.336430902973875,0.0,42.0,0.03656284774447583,9,3.738230180384939,11.924112580476768,0.3135017516108919,434.3711450525724,792.5035169988276,5.5470009148266195,9,20,9701.677604204313,13.391620874153263,0.9715932511682268
PT0002000117822355RM,2.6125283675759867,1.7487080809147526,0.0,10.228,0.46612128104479256,21,1.4603816543558898,2.993664992150706,0.487824007758037,131.2483584085565,133.71673622508783,1.2282632266162319,21,10,3973.9966819044835,2.7048351648351647,0.6693546767253966
PT0002000119303492KB,5.610005457753183,5.645738503152479,0.0,39.0,0.03656284774447583,12,3.847764232308493,7.226183226030973,0.5324753209201286,349.1497835239317,518.1658851113716,3.3847851308631447,12,2,7822.705082095117,8.413520097442143,1.006369520612482
PT0002000120237616VJ,6.08421413557149,5.065369625580583,0.0,25.0,0.17973268767501865,12,2.6909658612132032,8.335683629675044,0.3228248552564257,309.16326498275424,478.45603751465416,3.629503086712677,12,17,8010.005619482294,9.412374821173106,0.8325429566927617
PT0002000120320157HF,0.07274963780087945,0.00758174771749677,0.0,0.368,0.03779791383885445,18,0.07135647551422279,0.07366811846689895,0.9686208498223713,1.4159432431046437,6.7108769050410295,0.00042902400234275687,18,18,65.92118385936868,0.004063414634146334,0.10421698233396726
PT0002000123648159KR,6.0234230232262975,6.390885503418816,0.0,36.0,0.036526162612959635,12,5.925043262591826,6.819166521663477,0.8688808586458251,427.95606328537275,556.3722157092615,3.948066981734024,12,1,10789.98699663923,7.449756394640682,1.0610055908036982
PT0002000123801456QA,0.14394098200073466,0.2994944757625698,0.0,2.036,0.001308436357411008,20,0.06544159578335187,0.19633615914050698,0.33331402666647325,19.599270765792625,13.78154747948417,0.002838531690867972,20,20,547.3022521289961,0.1651304347826087,2.080675507417625
PT0002000125379984SH,4.752058377883873,4.824339883151796,0.0,63.0,0.14452718979664209,19,1.4703162910774579,5.922423084460121,0.24826262327246243,247.5942762460089,389.7356389214537,1.9909300936550693,20,10,6588.084450921319,7.451989026063101,1.0152105676151457
PT0002000131605602FL,1.3250249465431219,1.5877639138216861,0.0,4.684,0.6397153233794343,22,2.7347188193572367,0.31212098650535136,8.761726822590155,69.06288272566634,45.766951934349365,0.015169986672160423,22,5,1996.5301418523331,2.828778501628664,1.1982898268927147
PT0002000133505542CK,0.11327844241719223,0.013814357391657383,0.0,0.236,0.0013695782432713356,4,0.11632790146588672,0.11162489508141683,1.0421322356544176,1.3391396375689915,10.845116060961324,0.0008960224199928731,4,6,88.20194345751548,0.006347826086956526,0.12195045320962837
PT0002000133685986TF,0.07975461839617726,0.09888892424934759,0.0,8.0,0.17853430671215623,0,0.14168805972059337,0.03563102040816326,3.976536683415664,5.060298949752865,6.280980070339976,0.0004468667293784872,0,3,157.16971222181982,0.14428906642728906,1.2399147063574623
PT0002000201936109ME,0.25962878435966313,1.2815218572707996,0.0,30.0,0.3945363610795211,12,0.14431394698697914,0.3123615725359911,0.4620092856343618,72.25237604814521,15.070339976553342,0.2288259658093664,10,18,888.552280494746,0.36821705426356593,4.935977574410665
