device,count,mean,std,min,25%,50%,75%,max
D19BA341196,6726.0,17.164287838239666,41.6777680690516,-293.0,1.0,2.0,10.0,418.0
D19BA343472,5871.0,10.961335377278147,76.15710944555553,0.0,0.0,0.0,0.0,1664.0
D19BA343473,6129.0,4.673682493065753,33.89044938563666,0.0,0.0,0.0,0.0,818.0
D19BA343474,6262.0,1.9091344618332802,26.834021943610054,0.0,0.0,0.0,0.0,769.0
D19BA343504,6382.0,2.2093387652773426,15.591469562456323,0.0,0.0,0.0,0.0,668.0
D19BX000010,4849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D19BX000034,6082.0,13.121177244327523,70.78458243899217,0.0,0.0,0.0,0.0,1655.0
D19BX000036,5533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D19BX000038,4835.0,4.523474663908997,62.0744512839067,0.0,0.0,0.0,0.0,1532.0
D19BX000040,6195.0,190.56513317191283,264.5608421711855,0.0,10.0,33.0,331.0,2849.0
D19BX000041,6058.0,32.328656322218556,218.72032731895305,0.0,0.0,0.0,0.0,5932.0
D19BX000057,5960.0,105.95906040268456,199.60773581654612,0.0,0.0,8.0,114.0,3019.0
D20BA029351,6224.0,0.02924164524421594,0.18745743340939866,0.0,0.0,0.0,0.0,3.0
H19VA232210,6248.0,37.72567221510884,274.42382611171064,0.0,0.0,0.0,0.0,2470.0
H20VA222003,5229.0,7.091413272136164,65.05537677643629,0.0,0.0,0.0,0.0,3111.0
H20VA222016,6744.0,0.9568505338078291,5.179678912124402,0.0,0.0,0.0,0.0,292.0
H20VA543760,6274.0,1.8799808734459675,6.801677215510807,0.0,0.0,0.0,0.0,106.0
H21OF823215Y,6225.0,0.44819277108433736,34.85659554401622,0.0,0.0,0.0,0.0,2750.0
H21OF824724S,6543.0,33.368485404248815,511.81156587544797,0.0,0.0,0.0,0.0,10570.0
H21OF834686I,6570.0,97.55555555555556,185.67078435150282,0.0,0.0,20.0,90.0,2520.0
H21OF834689L,6051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H21OF834691F,6548.0,0.9743433109346366,45.01783108136755,0.0,0.0,0.0,0.0,2130.0
H21OF834748,6207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H21OF834752B,6172.0,128.87394685677253,597.1314611032936,0.0,0.0,0.0,0.0,11870.0
H21VA420473Z,6722.0,296.6157393632847,164.85144306986288,82.0,237.0,280.0,340.0,6054.0
H21VA420783K,6785.0,54.37450257921886,110.6277378065346,-12.0,0.0,1.0,54.0,1713.0
H21VA421023H,5195.0,0.22810394610202117,11.004538364584429,0.0,0.0,0.0,0.0,791.0
H21VA421030G,5185.0,0.23452266152362583,8.781456029211553,0.0,0.0,0.0,0.0,569.0
H21VA421042K,5815.0,0.2226999140154772,15.24638042960435,0.0,0.0,0.0,0.0,1162.0
H21VA421044M,2005.0,0.6967581047381546,19.166978591504346,0.0,0.0,0.0,0.0,838.0
H21VA421061N,2874.0,0.3173277661795407,8.1429662980579,0.0,0.0,0.0,0.0,336.0
H21VA421068U,5895.0,0.2363019508057676,7.862146075977481,0.0,0.0,0.0,0.0,522.0
H21VA421091T,5051.0,0.5503860621659077,34.16831931629695,0.0,0.0,0.0,0.0,2419.0
H21VA421092U,6330.0,2.2127962085308055,97.11948029574846,0.0,0.0,0.0,0.0,6975.0
I11JB001828,6444.0,3.798572315332092,8.40916393019295,0.0,0.0,0.0,6.0,112.0
I13JA277278,6207.0,0.25890124053487995,2.446954005230958,0.0,0.0,0.0,0.0,52.0
I13JA277279,5091.0,0.34629738754665096,3.7858302068060685,0.0,0.0,0.0,0.0,94.0
I13JA277280,6007.0,0.1308473447644415,5.8039216762758645,0.0,0.0,0.0,0.0,308.0
I13JA277295,6287.0,0.08939080642595833,3.3980249725528804,0.0,0.0,0.0,0.0,211.0
I13JA287987,5052.0,8.063143309580365,15.395202062399802,0.0,0.0,2.0,12.0,259.0
I13JA287996,6084.0,0.5833333333333334,2.110647564502895,-1.0,0.0,0.0,0.0,30.0
I13JC094216,5353.0,14.666542125910704,72.05180749257754,0.0,0.0,0.0,0.0,595.0
I13JC114242U,6129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I13JE090461J,6523.0,0.016710102713475394,0.23138404642549978,0.0,0.0,0.0,0.0,8.0
I13JE090462,6468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I13JE090464M,6303.0,11.341424718388069,135.77550289814099,0.0,0.0,0.0,0.0,2864.0
I13JE128947D,5230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I13JE133572D,6408.0,0.01466916354556804,1.0444036610053535,0.0,0.0,0.0,0.0,83.0
I14JC000553,6157.0,89.09501380542471,312.252074860778,0.0,0.0,0.0,0.0,5876.0
I14JC000554,6123.0,28.11138330883554,37.18178947069325,0.0,4.0,14.0,38.5,444.0
I14JC000555,6171.0,42.85431858693891,69.05996270877257,0.0,3.0,15.0,52.0,759.0
I14JC000558,5388.0,31.160356347438753,50.59040956569942,0.0,1.0,13.5,40.0,639.0
I14JC000570,6449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JC000573,4310.0,-0.0002320185614849188,0.015232155510134434,-1.0,0.0,0.0,0.0,0.0
I14JC000574,6574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JC000600,6294.0,66.68064823641564,77.6547547880836,0.0,9.0,43.0,101.0,1037.0
I14JC001558X,6296.0,0.0003176620076238882,0.030871289015236024,-1.0,0.0,0.0,0.0,1.0
I14JC024663T,6173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JC024664U,5727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JC025288,5976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JC032911,6661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I14JE002614G,4827.0,15.055106691526829,239.37144403274505,0.0,0.0,0.0,0.0,5157.0
I14JE002622G,6809.0,159.78264062270523,293.0978078340525,0.0,0.0,0.0,226.0,5604.0
I15JC065279,6231.0,6.062429786551116,64.6655511193953,0.0,0.0,0.0,0.0,1522.0
I15JC093137,6350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I16JC097380,5521.0,-0.00018112660749864155,0.013458328555160243,-1.0,0.0,0.0,0.0,0.0
I16JC098524,6386.0,60.31381146257438,92.4712769405606,0.0,0.0,0.0,120.0,1012.0
I16JC098541,6499.0,1.8024311432528082,29.581315386647347,-1.0,0.0,0.0,0.0,499.0
I17JC061030,5957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I17JC061031,6413.0,0.0003118665211289568,0.01765836581287132,0.0,0.0,0.0,0.0,1.0
I17JC061032,5258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I17JC061038,5795.0,4.133563416738568,95.53918047329253,0.0,0.0,0.0,0.0,2774.0
I17JE060870R,6560.0,17.73810975609756,40.92530180932479,0.0,0.0,1.0,16.0,634.0
I17JE060874,6254.0,141.2137831787656,328.7055691936438,0.0,2.0,3.0,131.0,4134.0
I17JE060876,6165.0,94.51127331711274,161.92283337830307,0.0,0.0,0.0,153.0,3292.0
I17JE060878,6659.0,221.90388947289384,358.6979730637371,-1.0,9.0,60.0,280.0,3749.0
I17JE060879,6718.0,187.6289074129205,311.3709846944631,0.0,0.0,12.0,298.0,3452.0
I17JE096910V,6704.0,15.683770883054892,180.36794144249885,0.0,0.0,0.0,1.0,3708.0
I17JE096912X,5341.0,257.07713911252574,886.614631990094,0.0,0.0,0.0,71.0,26419.0
I17JE096914,6778.0,73.48922986131602,142.1678527283319,0.0,0.0,1.0,82.0,2246.0
I18JC059402,6004.0,4.26782145236509,80.13647710647076,0.0,0.0,0.0,0.0,2917.0
I18JC067674,4555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I18JC067687,1824.0,201.15625,3175.8476682087403,0.0,0.0,0.0,0.0,104133.0
I18JC067698,6594.0,185.101152562936,140.33823928717666,2.0,71.0,156.0,259.75,1928.0
I18JC080663,4728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I18JE068310,6130.0,9.328221859706362,147.178205973333,0.0,0.0,0.0,0.0,2804.0
I18MF900593,1592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I18MF912111K,5482.0,356.92083181320686,547.6027975382705,0.0,0.0,230.0,600.0,11840.0
I18MF914138D,4789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I18MF914139E,6577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I19JC019975,4878.0,-0.0014350143501435015,6.382436139228871,-224.0,0.0,0.0,0.0,256.0
I19JC020003,6329.0,113.31679570232264,102.71512209036858,0.0,49.0,92.0,149.0,1184.0
I19JC029813,4076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I19JC029815,6172.0,5.292773817239144,97.2090300363836,0.0,0.0,0.0,0.0,2172.0
I19JC029846L,4030.0,875.77841191067,1645.1308084157529,0.0,224.0,420.5,842.75,26948.0
I19JC029855,4830.0,248.63850931677018,477.38201829676973,0.0,15.0,57.5,344.0,9457.0
I19JC029856,4713.0,391.86632718014005,1059.7614055987863,-2022.0,0.0,1.0,5.0,25518.0
I19JC029867,5521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I19JC029868,5713.0,51.060738666199896,144.14156445274782,-294.0,0.0,0.0,0.0,3901.0
I19JC029874,6779.0,36.7732703938634,186.25366555061657,-7168.0,0.0,0.0,57.0,7207.0
I19JC029877,6352.0,49.55998110831234,78.67533739820716,0.0,2.0,8.0,70.0,1635.0
I19JC029878,5747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I19JC029884,4000.0,42.008,239.30976207952037,0.0,0.0,0.0,0.0,6673.0
I19JC029885,6109.0,38.93206744147978,168.88320559765108,0.0,0.0,0.0,0.0,2472.0
I19JC065474,5176.0,151.49478361669242,438.38559513411616,0.0,35.0,56.0,65.0,7290.0
I19JC065475,5749.0,0.9097234301617673,20.67355773188813,0.0,0.0,0.0,0.0,480.0
I19JC065506,6391.0,79.69034579877953,167.88094848124769,0.0,0.0,0.0,74.5,1828.0
I19JC065518,6338.0,1.4887977279899023,39.758914677059856,0.0,0.0,0.0,0.0,1686.0
I19JC065519,6351.0,67.7816091954023,228.9524305342746,0.0,0.0,0.0,0.0,1041.0
I19JC065533,5190.0,5.895953757225434,110.09637136469026,0.0,0.0,0.0,0.0,2257.0
I19JC065537,6740.0,58.785014836795256,134.19983719470858,0.0,2.0,6.0,33.0,1951.0
I19JC065564I,5050.0,93.11643564356436,113.01167483235463,0.0,34.0,65.0,109.0,1576.0
I19JE047347N,6587.0,6.103385456201609,116.38889606928659,0.0,0.0,0.0,0.0,4600.0
I19JE047349,5708.0,22.29905395935529,285.15885984600857,0.0,0.0,0.0,0.0,9262.0
I19JE055638,4973.0,107.15765131711241,522.9642460581242,0.0,0.0,0.0,0.0,12752.0
I19MF924543A,6692.0,189.09294680215183,386.41351928894454,0.0,0.0,0.0,280.0,5540.0
I19MF927865,6184.0,949.1526520051747,3063.217174767799,0.0,0.0,0.0,0.0,98520.0
I19MF927868E,4792.0,0.02921535893155259,1.4871543367242188,0.0,0.0,0.0,0.0,90.0
I20JE060955,5944.0,16.436238223418574,104.6611495406384,-91.0,0.0,0.0,0.0,2543.0
I20JE060957,6298.0,122.88027945379486,152.31728549266887,0.0,39.0,100.0,172.0,6487.0
I20JE060958,5523.0,-0.0001810610175629187,0.013455891555854586,-1.0,0.0,0.0,0.0,0.0
I20JE060959,5012.0,175.201316839585,320.31086846819966,0.0,9.0,69.0,226.0,5376.0
I20JE067855T,5711.0,6.7825249518473125,424.82856991633827,0.0,0.0,0.0,0.0,32005.0
I20JE067857,6349.0,80.5350448889589,77.18914674357997,0.0,17.0,63.0,122.0,1561.0
I20JE067858,6367.0,267.9082770535574,211.5742730536732,0.0,97.0,253.0,387.0,3394.0
I20JE067859,6424.0,233.04218555417185,153.24874310793666,3.0,97.0,222.0,331.0,2121.0
I20MF944347P,6320.0,328.47151898734177,429.76663048912695,0.0,20.0,120.0,620.0,3310.0
I20MF944348Q,6273.0,-3.312609596684202,4.76762259623907,-30.0,-10.0,0.0,0.0,10.0
I20MF945856,5319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I20MF945857,5989.0,68.14493237602271,156.10098248649632,0.0,0.0,0.0,70.0,2770.0
I21JC023968M,6061.0,0.01616894901831381,0.442841008614,0.0,0.0,0.0,0.0,14.0
I21JC029084J,6597.0,5.219493709261785,77.58149745062393,0.0,0.0,0.0,0.0,1492.0
I21JC029093K,6268.0,1.6936821952776004,18.49004005591488,0.0,0.0,0.0,1.0,949.0
I21JC029094L,5245.0,0.19294566253574832,12.120003975857925,0.0,0.0,0.0,0.0,870.0
I21JC029107Z,6147.0,8.873108833577355,248.7660196762014,0.0,0.0,0.0,0.0,10693.0
I21JC029118C,6213.0,48.05697730564945,57.75412199609,0.0,24.0,41.0,61.0,2098.0
I21JC029120W,6048.0,24.56084656084656,51.85160544934124,0.0,0.0,1.0,27.0,638.0
I21JC029122Y,6259.0,100.68109921712734,185.65033244528965,0.0,0.0,10.0,141.0,2914.0
I21JC029129F,6248.0,150.11267605633802,118.99862499663402,0.0,71.0,129.0,205.0,2236.0
I21JC029134C,6300.0,268.52507936507936,418.64315772845595,0.0,11.0,60.0,376.0,4428.0
I21JC029136E,6159.0,36.524435785030036,295.4336198213667,0.0,0.0,0.0,0.0,4892.0
I21JC029147H,5265.0,1.9331433998100664,70.07550810616192,0.0,0.0,0.0,0.0,2564.0
I21JC029148I,6109.0,164.45801276804715,258.10538112737623,0.0,10.0,34.0,205.0,1910.0
I21JC029153F,5930.0,99.01332209106239,207.92273982371293,0.0,80.0,83.0,86.0,3280.0
I21JC029154G,6480.0,4.353858024691358,21.98548540949371,0.0,0.0,0.0,0.0,988.0
I21JC029164I,6521.0,1.6229105965342738,77.96155822527939,0.0,0.0,0.0,0.0,4385.0
I21JC029165J,5482.0,98.22345859175483,388.51694151108575,0.0,0.0,0.0,0.0,5074.0
I21JC029166K,6242.0,107.03876962512015,441.2312616039259,0.0,7.0,9.0,10.0,2339.0
I21JC029167L,6204.0,25.46067053513862,167.581475009443,0.0,0.0,8.0,11.0,1605.0
I21JC029323F,5990.0,334.649081803005,252.960367380633,-144.0,161.0,304.0,443.0,3338.0
I21JC029325H,5852.0,86.5692071086808,78.68067272410718,2.0,34.0,67.0,115.0,1139.0
I21JC029328K,5411.0,122.35150619109221,368.23285634839294,-4.0,9.0,10.0,14.0,4659.0
I21JC029331F,988.0,523.9919028340081,2276.239785307791,0.0,25.0,82.0,183.25,43642.0
