CPE,count,mean,std,min,25%,50%,75%,max
PT0002000110607652SB,67178.0,5.4437315787906755,5.735292860309408,0.0,1.0,2.0,9.0,35.0
PT0002000112026362NN,81668.0,0.008164323847773915,0.015034761120496547,0.0,0.0,0.004,0.004,0.068
PT0002000112171317NK,78694.0,0.2418650977202836,0.2940829350234322,0.0,0.0,0.0,0.516,1.08
PT0002000112989585PH,43662.0,14.161284412074572,7.882464580835375,0.0,6.0,15.0,19.0,89.0
PT0002000114685657JR,46638.0,46.47075346284146,25.594442762150134,0.0,29.0,35.0,56.0,178.0
PT0002000115031201VQ,81764.0,6.151772173572722,9.524575651844058,0.0,1.0,2.0,7.0,57.0
PT0002000115673389QK,78789.0,13.678521113353387,11.587557335951487,0.0,4.0,11.0,20.0,67.0
PT0002000115673471CB,78789.0,11.708779144296793,15.020249754719122,0.0,3.0,4.0,17.0,111.0
PT0002000115700602GW,78787.0,8.580165509538375,8.336430902973875,0.0,3.0,4.0,11.0,42.0
PT0002000117822355RM,43659.0,2.6125283675759867,1.7487080809147526,0.0,1.316,1.612,4.368,10.228
PT0002000119303492KB,78787.0,5.610005457753183,5.645738503152479,0.0,2.0,3.0,8.0,39.0
PT0002000120237616VJ,67079.0,6.08421413557149,5.065369625580583,0.0,3.0,4.0,8.0,25.0
PT0002000120320157HF,78686.0,0.07274963780087945,0.00758174771749677,0.0,0.068,0.072,0.076,0.368
PT0002000123648159KR,78790.0,6.0234230232262975,6.390885503418816,0.0,1.0,3.0,10.0,36.0
PT0002000123801456QA,81670.0,0.14394098200073466,0.2994944757625698,0.0,0.04,0.08,0.084,2.036
PT0002000125379984SH,69958.0,4.752058377883873,4.824339883151796,0.0,1.0,2.0,8.0,63.0
PT0002000131605602FL,29463.0,1.3250249465431219,1.5877639138216861,0.0,0.0,0.0,3.196,4.684
PT0002000133505542CK,81665.0,0.11327844241719223,0.013814357391657383,0.0,0.112,0.116,0.116,0.236
PT0002000133685986TF,67177.0,0.07975461839617726,0.09888892424934759,0.0,0.0,0.0,0.192,8.0
PT0002000201936109ME,49513.0,0.25962878435966313,1.2815218572707996,0.0,0.0,0.0,0.0,30.0
