CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal,cluster
PT0002000068859597LS,29.197316816226028,23.99151058316524,142.0,19.0,7.0,80.0,31.0,0.0365628477444758,0.0006481039901194,10,19.830360564594304,35.06412041064903,0.5655456441614258,26.026492082825825,22.607019216324844,1,10.0,22.0,15.694425121565146,0.821702580897169,0.6699455786437063,0.9864218680956628,0.7836262929177642,-0.2938438000246012,-0.0001089602413443,0.6018871932775386,3
PT0002000069698702RB,2.170356412290671,1.1069549545749329,7.344,1.756,1.26,4.576,1.216,0.4297051738263815,0.0004035364466781,17,1.579649963996159,2.5873386243386243,0.6105308169316064,2.5877921810699585,2.663234407820364,0,17.0,9.5,0.2483478064612415,0.5100337199486114,0.8902164733212576,0.7758630657700556,0.52796910638385,0.3543702194718481,0.002986376668517,0.9528119674342552,4
PT0002000069803182JW,0.4730019656172974,0.7091207330247061,4.684,0.044,0.0,1.844,1.324,0.6080682832581288,0.1000525820218398,23,0.8170890429505083,0.1924850299401197,4.244948519917091,0.9511497005988024,0.6639855070236736,1,23.0,0.0,0.0208530152011999,1.4991919369706186,1.92418795612083,0.9800023339701104,0.947653500758574,0.063494901103815,0.003572591434007,1.8983095418523477,6
PT0002000071896778MT,9.932266502758798,13.190327429350935,68.0,2.0,0.0,40.0,14.0,0.144527189796642,0.0431172579087029,7,11.560849451180658,10.10856359004507,1.1436688653337257,9.57681755829904,12.588646567137989,1,7.0,23.0,8.112520602059455,1.328027940620318,1.1710562685507215,0.9787723953099124,0.7469064615360022,0.9385152418943542,0.0011521382953319,1.0385471006061544,1
PT0002000073231742VK,4.895305887820748,3.366586389795861,22.0,3.0,2.0,13.0,2.0,0.0001834256575809,0.000574733727087,12,3.168021463836229,6.111334674714958,0.5183845481321133,6.058392018779343,2.663234407820364,0,12.0,9.5,2.390477931037901,0.6877172677139018,0.3308142396474143,0.9314506179443112,0.6692034156772951,-0.0119727841807248,-2.5516014756173067e-05,0.3140031711556267,8
PT0002000073481266XH,4.324336502214832,3.65593519818992,24.0,2.0,1.0,12.0,5.0,0.0365628477444758,0.0008070728933563,11,1.94715231813994,5.929310944840786,0.3283943676177409,6.200974421437272,3.098704977311185,1,11.0,21.0,3.363534589328389,0.8454326337271459,0.4661494251253294,0.9288708075817064,0.5742996020848992,0.0487089701354592,0.0001219505975921,0.3541379909317083,1
PT0002000073598156DE,0.6331559806150018,0.6355183680688345,3.36,0.976,0.004,1.756,1.116,0.4297418589578977,0.2621274930603959,20,0.005408752222522,0.978042328042328,0.0055301821479938,1.5345576131687244,0.6282293569917846,1,20.0,9.0,0.006907603313197,1.0037311302841017,0.889771334226227,0.9632564674358984,0.9773107265456992,0.101886425968414,0.0029434182440487,0.960100000757392,4
PT0002000073717386HC,5.496204957670682,9.045480723268374,33.0,1.0,0.0,27.0,1.0,0.0365628477444758,0.1993225479046675,18,0.9029757915360016,8.562945884809468,0.1054515354508857,14.850487210718637,6.334657876328521,1,18.0,18.0,0.1512255976439361,1.6457684516739517,0.7059514995145012,0.9323781340999476,0.9430554796172488,-0.6356014742385474,-0.0012520349249311,0.7000424120393063,2
PT0002000075637532JB,4.327908572408766,5.40751435452686,31.0,2.0,1.0,17.0,4.0,0.1445394181738141,0.0142093742739401,10,1.2640562675275102,6.465755437977661,0.1955001669414947,9.337448559670785,4.141450782415485,1,10.0,21.0,4.290696126829446,1.2494520769225084,0.7730873210661483,0.9652883755147874,0.6694839247069093,0.0859328902131099,0.0002421024560158,0.5814223730163898,1
PT0002000077394934QY,20.47566826593557,9.760734319474292,83.0,18.0,11.0,41.0,10.0,0.0365750761216479,0.0007948445161842,12,14.445486262543314,24.61375500261005,0.5868867330893441,17.026187576126677,2.663234407820364,0,12.0,9.5,3.70503033315272,0.4766991823027715,0.3393480730961469,0.9779417307757312,0.7940906817791473,-0.0030639509418281,-1.6201070132701884e-06,0.4019432057444355,8
PT0002000077647404EM,3.4402058715270285,6.608230785155504,35.0,1.0,0.0,20.0,1.0,0.0365628477444758,0.4506156987906135,21,1.2532748726928535,3.180920480250566,0.3939975489717778,9.977161997563949,4.432016441958093,1,21.0,0.0,3.484595094125583,1.920882363421542,0.8542268901111693,0.9614072020438804,0.5250844907261379,0.2058085255522523,0.0006476992523195,0.6190263051535192,2
PT0002000078207354XC,3.635144053813936,2.9600767171574804,20.0,2.0,0.0,9.0,5.0,0.0365261626129596,0.059943504897465,19,1.3538906359158762,4.529471898381764,0.2989069512495658,4.478075517661389,3.1601943473849907,1,19.0,0.0,1.3014343580822862,0.8142941994421967,0.4843585542992414,0.9440302797256436,0.6319439341627016,-0.0127752466019378,-3.804745368210578e-05,0.4641418939042988,2
PT0002000078233981HJ,2.6158333741010718,3.8281285224592367,16.0,1.0,0.0,11.0,2.0,0.0001589689032368,0.2960979248443939,19,0.5676946028181444,3.070212944332663,0.18490398324522,6.720363849765258,2.3283006845025347,1,19.0,18.0,2.6260051840737524,1.463445095685718,0.4495882489517285,0.9398217534669736,0.4958242339319219,-0.0090962819950085,-3.627778316794038e-05,0.3938334668677353,2
PT0002000078294957RQ,5.48199598923694,7.567065291498691,48.0,2.0,1.0,24.0,5.0,0.0365506193673037,0.0049524927546865,12,1.6096728134099247,8.041630415869152,0.2001674697998352,11.45706455542022,5.404921022530885,1,12.0,22.0,5.23794332381178,1.3803485639820725,0.8030844759077279,0.9738131924046944,0.6914099476291918,0.1394025173855581,0.0002753092846398,0.5722425890121573,1
PT0002000079901964CJ,0.6103887879155055,0.6199995165401565,1.916,0.032,0.0,1.296,1.264,0.3944752191936608,0.3024077674651797,2,1.1971122699279526,0.1924125138427464,6.221592587820563,1.222048449612403,0.6263227936738196,1,2.0,0.0,0.0047367769160393,1.015745257473473,0.8623790423356729,0.9731069491665584,0.9902316724260934,-0.0450637763118986,-0.0012717652984119,0.9210030312082008,9
PT0002000081344542CP,3.115533019406755,4.613518942918415,25.0,1.0,0.0,13.0,4.0,0.0365628477444758,0.355307727111535,19,0.7474870659873506,3.547111536453802,0.2107311986965724,7.790803897685749,3.1139548207395755,1,19.0,22.0,2.501880349513255,1.4808120838972525,0.5657379112433959,0.9325570145486796,0.5666392297213866,0.0780637933649985,0.0002712762416422,0.4861426040710775,2
PT0002000081997398TD,27.679439823874755,18.045468968950956,155.0,24.0,7.0,61.0,27.0,0.0002078824119251,0.0006481039901194,17,10.963717160784098,37.10718477531857,0.2954607639239852,39.41901408450704,2.663234407820364,0,17.0,9.5,4.532345357391662,0.651944876188785,0.265523841340762,0.957197959961221,0.883568566183738,0.5711532180030775,0.000215279898402,0.3136971813932405,8
PT0002000082549706RH,9.122862908855522,5.64136366225133,37.0,7.0,3.0,21.0,5.0,0.0365628477444758,0.000574733727087,2,9.439387022327567,8.939229163041587,1.05595089354615,2.762484774665043,2.663234407820364,0,2.0,9.5,1.037089137249737,0.6183764590801079,0.6242212736955131,0.9646169719303532,0.9076177153500424,-0.3942126032771109,-0.0004678361999649,0.6484537522179652,8
PT0002000082592498EF,0.5386167059847462,0.6737033445028227,3.552,0.188,0.064,2.24,1.0239999999999998,0.4660968242904484,0.0004035364466781,18,0.3910891908998688,0.6446023547880689,0.6067138725058651,0.7676703296703296,0.7011605345256942,1,18.0,3.0,0.2877118159821009,1.2508029123810769,1.5453226687547572,0.9811030221712194,0.6067048695257927,0.0899351710748801,0.0032621587987959,1.2636901043275754,4
PT0002000084414998AX,1.000804699846545,0.8771641366744238,10.12,0.916,0.312,3.14,0.668,0.4660968242904484,0.0185626765471954,15,0.7099848015103343,1.2045032967032965,0.5894419745081229,0.7442351648351649,1.0234973832947556,1,15.0,10.0,0.0263846379831971,0.8764588503720265,1.2389736000756215,0.541657529466932,0.5936756326475134,0.1295053020252856,0.0025280960239541,1.2514774730403897,4
PT0002000085555547GN,1.4428695186019085,1.3530566139214173,8.892,1.372,0.04,4.105199999999982,2.06,0.4297296305807256,0.0004157648238502,21,2.2328629336191885,0.7638853615520284,2.923034065062533,2.761952674897119,2.663234407820364,0,21.0,9.5,0.156175970076796,0.9377539662993803,1.0111988737918092,0.8759495727615034,0.8683390763807997,0.2338489889619268,0.0029644592706498,1.022473348373976,4
PT0002000085641795MX,0.0857523476741646,0.0824754046921192,1.388,0.068,0.0,0.288,0.0239999999999999,0.6080438265037846,0.0238820206170439,16,0.0592297132379653,0.1045759195893926,0.5663800373023271,0.1220359281437125,0.0909154723931039,1,16.0,0.0,0.0099673906886264,0.9617859677207096,1.437711811648391,0.9629117844770332,0.5400222308114917,0.0149577640346721,0.00464195586206,1.4144488832419335,4
PT0002000089069203YG,3.2306345140850445,2.446624322719657,152.8,3.056,0.38,7.116,4.168,0.3592819496924563,0.0005502769727429,11,2.150344808921016,3.990828558346416,0.5388216450500702,2.663550366300367,2.724178012290965,1,11.0,11.0,0.5706393825387864,0.7573200595897711,0.9643916626688308,0.8357843227554677,0.590179340925418,0.2217347221336588,0.0011173694037855,0.9375565507910556,1
PT0002000100113293JT,42.29064747321559,14.713097819990908,74.0,46.0,8.0,58.0,10.0,0.0001589689032368,0.0008559864020445,9,39.05910541308612,43.99775737759893,0.8877521887734376,7.516459606696785,37.51342857686475,1,9.0,11.0,1.4520350263477428,0.3479042932437797,0.3295485258134578,0.9807030179997912,0.9169875100385808,-1.3231631056301107,-0.0003264043590935,0.4138451144447069,3
PT0002000100742616GC,3.3444501042119974,4.1875946226721945,22.176,1.072,0.236,12.34,5.324,0.4660968242904484,0.0133656162490675,0,4.669128424623026,3.1459507064364205,1.484170878796759,5.163184434360554,3.917707200794489,1,0.0,19.0,2.0424598945572563,1.25210258553367,1.404623171812598,0.945900643861592,0.8279114854159536,0.6407711056762034,0.003743118286214,1.3486217729621088,0
PT0002000101964938LF,5.218820709777302,4.482709111927792,29.0,3.0,1.0,14.0,7.0,0.1785465350893283,0.0007214742531518,15,2.42550810616708,7.269668367346939,0.3336476966489555,6.499642857142858,4.3466889847525625,1,15.0,5.0,4.25359225343628,0.8589505869649006,0.7072517472391542,0.9642468504770084,0.6046461717503934,0.418933410970696,0.0010193128792699,0.5851724417270061,1
PT0002000102936404ME,5.105946186064221,2.617237649145536,22.0,5.0,0.0,10.0,2.0,0.0365261626129596,0.062181297919953,21,4.146954265205427,5.454541499912997,0.7602754998328592,7.828258221680877,2.663234407820364,0,21.0,9.5,0.1541718387958531,0.5125862188459455,0.2940940013448531,0.9153251002771056,0.8136978725466081,0.200393102953044,0.0004248977853925,0.3891964827343236,8
PT0002000103647515BL,0.6170404498089835,1.165898018360838,5.0,0.0,0.0,3.0,0.0,0.0365383909901317,0.7319539723883244,20,0.2669373881163117,0.370214894727684,0.7210336264635183,2.6775274056029232,2.663234407820364,0,20.0,9.5,0.0108808307552211,1.8895001433403007,0.3585390682383698,0.9290414252556908,0.9680163921161288,-0.0270937794042714,-0.0004753783493467,0.4452307579437066,2
PT0002000105483259QH,0.2371182564240549,0.4272009717706372,3.0,0.0,0.0,1.0,0.0,0.0001711972804089,0.7635154138694253,18,0.1915613612263072,0.2333794433266264,0.8208150576407338,0.2561619718309859,0.1881634215843749,1,18.0,7.0,0.0310082809492413,1.8016367791041965,0.300723681002868,-0.2231172315379141,0.0902981493504399,0.0134339177493806,0.00059105773515,0.3463273780681312,7
PT0002000106237165CF,0.0860838715587925,0.0485172520894529,0.98,0.08,0.044,0.168,0.024,0.4660845959132763,0.0008804431563887,18,0.0725279451891028,0.0957764521193092,0.7572628092211474,0.0757208791208791,2.663234407820364,0,18.0,9.5,0.0135803925732572,0.5636044384495095,0.9941905102216806,0.90656756227575,0.466686121648499,0.015564296547451,0.0035322636483152,1.042262827588875,4
