CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal
PT0002000078441876HB,218.21248104485642,103.0808095800531,574.0,196.0,85.0,398.0,173.0,0.5000305709429301,0.0003179378064737029,12,117.38267863607894,279.32243460764585,0.4202407830254027,216.92605633802816,2.6632344078203642,0,12.0,9.5,65.26406944413297,0.47238732214800994,1.0456859991311196,0.974878692114795,0.8085084637258186,-37.08331496870446,-0.003545466363766167,1.0964174905188884
PT0002000079901964CJ,0.6103887879155055,0.6199995165401565,1.916,0.032,0.0,1.296,1.264,0.3944752191936608,0.3024077674651797,2,1.1971122699279526,0.19241251384274638,6.221592587820564,1.222048449612403,0.6263227936738196,1,2.0,0.0,0.004736776916039325,1.0157452574734733,0.8623790423356733,0.9731069491665583,0.9902316724260934,-0.045063776311898646,-0.001271765298411921,0.9210030312082007
PT0002000081344542CP,3.115533019406755,4.613518942918415,25.0,1.0,0.0,13.0,4.0,0.03656284774447583,0.355307727111535,19,0.7474870659873506,3.547111536453802,0.21073119869657247,7.790803897685749,3.1139548207395755,1,19.0,22.0,2.501880349513255,1.4808120838972523,0.5657379112433959,0.9325570145486795,0.5666392297213866,0.07806379336499851,0.0002712762416422145,0.4861426040710775
PT0002000081997398TD,27.679439823874755,18.045468968950953,155.0,24.0,7.0,61.0,27.0,0.00020788241192511343,0.0006481039901194712,17,10.963717160784098,37.10718477531857,0.2954607639239852,39.41901408450704,2.6632344078203642,0,17.0,9.5,4.532345357391663,0.651944876188785,0.26552384134076207,0.957197959961221,0.883568566183738,0.5711532180030775,0.00021527989840204972,0.31369718139324054
PT0002000082549706RH,9.122862908855522,5.64136366225133,37.0,7.0,3.0,21.0,5.0,0.03656284774447583,0.0005747337270870783,2,9.439387022327567,8.939229163041585,1.0559508935461503,2.762484774665043,2.6632344078203642,0,2.0,9.5,1.0370891372497375,0.6183764590801079,0.6242212736955131,0.9646169719303532,0.9076177153500423,-0.39421260327711094,-0.00046783619996490586,0.6484537522179652
PT0002000082592498EF,0.5386167059847462,0.6737033445028227,3.552,0.188,0.064,2.24,1.0239999999999998,0.4660968242904484,0.00040353644667816133,18,0.39108919089986877,0.6446023547880689,0.606713872505865,0.7676703296703296,0.7011605345256942,1,18.0,3.0,0.2877118159821008,1.2508029123810767,1.5453226687547568,0.9811030221712194,0.6067048695257927,0.0899351710748801,0.0032621587987959762,1.2636901043275754
PT0002000084414998AX,1.000804699846545,0.8771641366744238,10.12,0.916,0.312,3.14,0.668,0.4660968242904484,0.01856267654719542,15,0.7099848015103343,1.2045032967032963,0.5894419745081229,0.7442351648351649,1.0234973832947556,1,15.0,10.0,0.026384637983197148,0.8764588503720265,1.2389736000756209,0.541657529466932,0.5936756326475134,0.12950530202528565,0.0025280960239541708,1.2514774730403897
PT0002000085555547GN,1.4428695186019085,1.3530566139214173,8.892,1.372,0.04,4.105199999999982,2.06,0.4297296305807256,0.00041576482385022686,21,2.2328629336191885,0.7638853615520282,2.923034065062534,2.7619526748971195,2.6632344078203642,0,21.0,9.5,0.15617597007679598,0.9377539662993803,1.0111988737918085,0.8759495727615034,0.8683390763807997,0.2338489889619268,0.002964459270649804,1.022473348373976
PT0002000085641795MX,0.08575234767416468,0.0824754046921192,1.388,0.068,0.0,0.288,0.023999999999999994,0.6080438265037846,0.023882020617043913,16,0.05922971323796533,0.1045759195893926,0.566380037302327,0.1220359281437126,0.09091547239310394,1,16.0,0.0,0.009967390688626437,0.9617859677207095,1.4377118116483907,0.9629117844770332,0.5400222308114917,0.014957764034672165,0.00464195586206,1.4144488832419335
PT0002000089069203YG,3.2306345140850445,2.446624322719657,152.8,3.056,0.38,7.116,4.168,0.3592819496924563,0.0005502769727429473,11,2.150344808921016,3.990828558346416,0.5388216450500702,2.663550366300367,2.724178012290965,1,11.0,11.0,0.5706393825387865,0.7573200595897711,0.9643916626688298,0.8357843227554677,0.590179340925418,0.22173472213365888,0.0011173694037855367,0.9375565507910557
PT0002000100113293JT,42.29064747321559,14.713097819990908,74.0,46.0,8.0,58.0,10.0,0.00015896890323685144,0.0008559864020445847,9,39.059105413086115,43.99775737759893,0.8877521887734376,7.516459606696792,37.51342857686475,1,9.0,11.0,1.4520350263477428,0.3479042932437797,0.3295485258134578,0.9807030179997913,0.9169875100385809,-1.3231631056301107,-0.00032640435909353694,0.41384511444470695
PT0002000100742616GC,3.3444501042119974,4.1875946226721945,22.176,1.072,0.236,12.34,5.324,0.4660968242904484,0.013365616249067586,0,4.669128424623026,3.1459507064364205,1.4841708787967587,5.163184434360554,3.91770720079449,1,0.0,19.0,2.0424598945572563,1.25210258553367,1.4046231718125992,0.9459006438615921,0.8279114854159536,0.6407711056762034,0.0037431182862140183,1.3486217729621086
PT0002000101964938LF,5.218820709777302,4.482709111927792,29.0,3.0,1.0,14.0,7.0,0.1785465350893283,0.0007214742531518642,15,2.4255081061670793,7.269668367346939,0.33364769664895555,6.499642857142858,4.3466889847525625,1,15.0,5.0,4.25359225343628,0.8589505869649006,0.7072517472391542,0.9642468504770083,0.6046461717503934,0.41893341097069603,0.0010193128792699052,0.5851724417270061
